customer_id,name,age,gender,city,income,spending_score,tenure,monthly_visits,favorite_product,favorite_category,purchase_frequency,churn
1,Christopher Glenn,33,Male,Chennai,141373,96,41,4,Laptop,Electronics,5,0
2,Thomas Melendez,59,Female,Hyderabad,26669,33,55,5,Smart TV,Gaming,2,0
3,Tammy Barnes,19,Female,Bangalore,129357,67,53,1,Laptop,Gaming,13,0
4,Brett Hunter,30,Male,Pune,34741,50,27,10,Smart TV,Electronics,19,0
5,Joseph Morgan,56,Female,Chennai,93474,67,40,29,Shoes,Accessories,15,0
6,Douglas Brown,36,Male,Delhi,104418,9,2,15,Fitness Band,Fashion,16,1
7,Thomas Hahn,54,Female,Pune,30227,76,41,3,Shoes,Gaming,6,0
8,Stephen Gutierrez,27,Female,Chennai,93763,24,32,6,Camera,Gaming,8,0
9,Charles Mclaughlin,49,Male,Mumbai,58058,89,9,4,Fitness Band,Gaming,2,0
10,Heather Baker,58,Male,Bangalore,89640,92,27,29,Tablet,Electronics,17,0
11,Russell Dean,49,Female,Delhi,23282,95,16,29,Laptop,Gaming,2,0
12,Kaitlin Howell,49,Male,Mumbai,80969,11,30,10,Camera,Fitness,20,0
13,Karen Lewis,54,Male,Chennai,79904,75,7,26,Tablet,Fashion,10,0
14,Mark Johnson,23,Female,Delhi,30295,93,48,21,Laptop,Fitness,19,0
15,Robert Guzman,40,Male,Bangalore,25054,35,27,1,Camera,Accessories,5,0
16,Harold Mullen,38,Male,Chennai,58815,85,52,28,Tablet,Accessories,13,0
17,Brian Li,55,Male,Chennai,123888,84,15,7,Camera,Gaming,4,0
18,Jason Brown,51,Female,Delhi,78453,46,43,19,Shoes,Gaming,10,0
19,Mary Baker,23,Male,Delhi,145574,27,28,16,Camera,Fashion,12,0
20,Amanda Wilcox,19,Female,Pune,29130,48,10,7,Shoes,Electronics,4,0
21,Mary Martin,56,Male,Hyderabad,109434,24,19,1,Camera,Accessories,12,0
22,Joseph Barajas,19,Male,Chennai,96443,22,16,17,Laptop,Fitness,2,0
